Date,RV
20020412,0.632183
20020415,0.843881036
20020416,0.37671792
20020417,0.453860528
20020418,2.307164149
20020419,0.379677479
20020422,0.465852548
20020423,0.781307595
20020424,0.859617338
20020425,0.837306687
20020426,1.079836838
20020429,0.809122132
20020430,0.785039507
20020501,0.95758193
20020502,1.099240408
20020503,0.718701367
20020506,0.767263696
20020507,0.898186898
20020508,0.890179414
20020509,1.096266822
20020510,1.012364379
20020513,0.747852749
20020514,0.570875592
20020515,1.228459704
20020516,0.587647476
20020517,0.630615417
20020520,0.514528033
20020521,0.616194368
20020522,0.964984247
20020523,0.696042444
20020524,0.607764007
20020528,0.662695111
20020529,0.343478574
20020530,0.909508919
20020531,0.628388946
20020603,1.512685379
20020604,2.005302149
20020605,0.973095068
20020606,1.073985193
20020607,1.584732241
20020610,1.320836084
20020611,1.031127655
20020612,2.963606073
20020613,1.259239446
20020614,4.052252019
20020617,0.928452063
20020618,0.999275185
20020619,1.167653006
20020620,1.750209306
20020621,1.674086768
20020624,2.986485997
20020625,2.157236161
20020626,4.675854953
20020627,2.989333524
20020628,1.713514872
20020701,1.604707096
20020702,3.025012973
20020703,2.870239476
20020708,2.112160679
20020709,2.319970239
20020710,3.95352337
20020711,6.32510481
20020712,4.198916147
20020715,6.607229358
20020716,5.899415307
20020717,5.523710654
20020718,2.775625239
20020719,4.146185669
20020722,12.0240792
20020723,11.36992041
20020724,13.97360072
20020725,12.15346788
20020726,4.711482185
20020729,2.389372462
20020730,4.058506001
20020731,3.180292257
20020801,4.168622632
20020802,4.198692714
20020805,3.076022604
20020806,4.284387523
20020807,3.277294207
20020808,3.154185009
20020809,3.153067594
20020812,1.894324909
20020813,3.289468901
20020814,4.05122199
20020815,4.857052235
20020816,1.795515558
20020819,1.512348283
20020820,1.760938541
20020821,3.035944629
20020822,2.02805642
20020823,1.601059118
20020826,1.849344082
20020827,2.434853699
20020828,1.614984381
20020829,2.176679993
20020830,1.98629832
20020903,2.003838953
20020904,1.970877996
20020905,2.393134651
20020906,1.936017103
20020909,1.674259831
20020910,1.491659479
20020911,1.048155532
20020912,1.259985202
20020913,2.384691589
20020916,1.333967035
20020917,1.830249133
20020918,2.3739734
20020919,1.996628013
20020920,1.96378606
20020923,2.787189973
20020924,4.892295177
20020925,2.624613677
20020926,2.419766945
20020927,2.28374924
20020930,5.26424321
20021001,4.021002191
20021002,4.54610039
20021003,4.674283549
20021004,6.262618198
20021007,4.143546845
20021008,6.360636046
20021009,5.995242454
20021010,5.574405889
20021011,4.195338354
20021014,2.897993094
20021015,2.580320717
20021016,2.317626733
20021017,1.831546074
20021018,2.139113015
20021021,2.015458248
20021022,1.803623326
20021023,2.20047867
20021024,2.8946158
20021025,2.357914713
20021028,1.771016249
20021029,3.718899929
20021030,2.251458379
20021031,2.534001615
20021101,2.692870614
20021104,1.129517991
20021105,1.049054994
20021106,3.688626112
20021107,1.741258061
20021108,1.787127431
20021111,1.21967173
20021112,1.286756016
20021113,3.61707629
20021114,1.271624233
20021115,1.720024247
20021118,1.187432115
20021119,1.176863765
20021120,1.601779837
20021121,1.161912841
20021122,0.802292879
20021125,1.06831496
20021126,0.965327896
20021127,1.268427015
20021202,2.001322755
20021203,1.206665587
20021204,1.770850222
20021205,1.205639142
20021206,1.982548066
20021209,1.14843316
20021210,0.875628164
20021211,1.159393593
20021212,1.553678634
20021213,0.980387085
20021216,0.774530986
20021217,0.762781861
20021218,0.962704937
20021219,1.407099035
20021220,0.629309751
20021223,0.776938464
20021226,0.958182505
20021227,0.975290109
20021230,0.894337371
20021231,1.400979932
20030102,1.811145528
20030103,0.96475885
20030106,0.897900877
20030107,1.224854209
20030108,1.080889288
20030109,0.695734332
20030110,1.121555159
20030113,0.813806159
20030114,0.670327593
20030115,0.767536099
20030116,0.998468921
20030117,0.852521649
20030121,0.735429654
20030122,1.18699597
20030123,1.107271381
20030124,1.633282211
20030127,2.648130702
20030128,1.115254084
20030129,1.446895328
20030130,1.474017802
20030131,1.730844835
20030203,1.06516773
20030204,1.183572627
20030205,2.035926349
20030206,2.246993361
20030207,1.875532137
20030210,1.687214059
20030211,0.961023191
20030212,1.192662747
20030213,2.36668516
20030214,1.974001098
20030218,0.929841726
20030219,0.917771316
20030220,0.793828669
20030221,1.680350844
20030224,0.952019453
20030225,1.918782066
20030226,1.214250065
20030227,1.624747588
20030228,1.15609441
20030303,0.97028102
20030304,0.582769374
20030305,1.364523698
20030306,1.201991695
20030307,4.725117561
20030310,0.76453157
20030311,1.413346576
20030312,2.187777576
20030313,1.273240072
20030314,3.013972953
20030317,3.686642551
20030318,1.873636477
20030319,1.462871552
20030320,1.978388082
20030321,1.912189955
20030324,1.102802787
20030325,1.674384716
20030326,1.162109372
20030327,1.107809103
20030328,1.002582268
20030331,1.190266164
20030401,1.561644748
20030402,0.805302044
20030403,0.996658668
20030404,1.268673746
20030407,1.774612565
20030408,1.485957058
20030409,2.048602978
20030410,1.060045793
20030411,1.205306386
20030414,0.760847401
20030415,0.869622297
20030416,1.206861385
20030417,0.660071882
20030421,1.119343374
20030422,1.027701119
20030423,0.618366614
20030424,0.779575502
20030425,0.860616504
20030428,0.725950093
20030429,1.308137649
20030430,1.235436694
20030501,1.057098813
20030502,1.156445307
20030505,0.862960209
20030506,0.884150284
20030507,0.946798142
20030508,0.924481712
20030509,0.447435571
20030512,0.616826137
20030513,0.596531411
20030514,0.6923845
20030515,0.588449751
20030516,0.641458004
20030519,0.605681624
20030520,1.110033188
20030521,1.280025797
20030522,0.961192092
20030523,0.368950533
20030527,0.700282462
20030528,0.842619039
20030529,0.924284571
20030530,0.681864151
20030602,0.798053041
20030603,1.067948167
20030604,0.840467967
20030605,0.827510349
20030606,1.559142592
20030609,0.573195242
20030610,0.69620997
20030611,0.612348887
20030612,0.846810865
20030613,1.000057783
20030616,0.671840959
20030617,0.709722891
20030618,0.716337918
20030619,0.939952234
20030620,0.694631334
20030623,0.649055212
20030624,0.638132379
20030625,1.567101201
20030626,0.723348854
20030627,0.825896352
20030630,1.00774745
20030701,1.203601195
20030702,0.559215781
20030707,0.532270897
20030708,0.498810897
20030709,0.767461844
20030710,0.658303704
20030711,0.655863126
20030714,0.90381889
20030715,1.269972597
20030716,0.692852769
20030717,0.761863175
20030718,0.56158894
20030721,0.535319845
20030722,1.023971728
20030723,0.638543642
20030724,1.057842331
20030725,0.907224077
20030728,0.953565281
20030729,1.420076927
20030730,0.624818875
20030731,1.827826595
20030801,0.964631859
20030804,1.669762569
20030805,1.809920735
20030806,1.122714494
20030807,0.764696152
20030808,0.637432692
20030811,0.596112665
20030812,0.569427454
20030813,0.459698148
20030814,0.68494798
20030815,0.310368474
20030818,0.346682541
20030819,0.44272751
20030820,0.288151553
20030821,0.86557566
20030822,0.796486581
20030825,0.37784193
20030826,0.769497123
20030827,0.194213676
20030828,0.500180406
20030829,0.615433008
20030902,0.927380356
20030903,0.562281655
20030904,0.377870943
20030905,0.432785366
20030908,0.367526686
20030909,0.380788333
20030910,0.530650921
20030911,0.49210115
20030912,0.524017374
20030915,0.376825954
20030916,0.268794936
20030917,0.326673863
20030918,0.316673986
20030919,0.372397004
20030922,0.388014702
20030923,0.423172907
20030924,0.540324376
20030925,0.705121945
20030926,1.042340376
20030929,0.483117388
20030930,1.346699026
20031001,0.641394835
20031002,0.602829454
20031003,0.708579843
20031006,0.245448925
20031007,0.68707489
20031008,0.403716069
20031009,0.746908026
20031010,0.300886987
20031013,0.259249821
20031014,0.339972441
20031015,0.365493475
20031016,0.384019113
20031017,0.416961067
20031020,0.382728339
20031021,0.443163757
20031022,0.436919019
20031023,0.549783801
20031024,0.543899149
20031027,0.331583464
20031028,0.418279946
20031029,0.499533194
20031030,0.747257415
20031031,0.336556655
20031103,0.353257428
20031104,0.187632489
20031105,0.632835578
20031106,0.389269112
20031107,0.588080152
20031110,0.313943124
20031111,0.228933875
20031112,0.289921955
20031113,0.320185165
20031114,0.464816956
20031117,0.544725159
20031118,0.601481285
20031119,0.41708194
20031120,0.803656601
20031121,0.490472052
20031124,0.315470446
20031125,0.285047712
20031126,0.302372566
20031201,0.276928691
20031202,0.241409359
20031203,0.399711523
20031204,0.345399715
20031205,0.430758732
20031208,0.306698269
20031209,0.464415621
20031210,0.349587052
20031211,0.349714901
20031212,0.35895451
20031215,0.42398561
20031216,0.284232808
20031217,0.189325159
20031218,0.216080601
20031219,0.366699617
20031222,0.174369022
20031223,0.190565561
20031229,0.189093338
20031230,0.123327492
20031231,0.271782656
20040102,0.505368843
20040105,0.17480517
20040106,0.204917608
20040107,0.305163367
20040108,0.32473563
20040109,0.480876703
20040112,0.249584746
20040113,0.487529197
20040114,0.158895318
20040115,0.534147696
20040116,0.301466767
20040120,0.244015165
20040121,0.446033943
20040122,0.364206714
20040123,0.404788069
20040126,0.363583002
20040127,0.325613899
20040128,1.05204396
20040129,0.813725408
20040130,0.467331448
20040202,0.844452276
