iteration,b0,b1,b2,b3,q,loglik,predicted,var,actual
45,0.017069298780570022,0.5523151915677537,0.3401528942439028,0.05936072215748129,0.47621881157744467,-9987.679684713057,-0.7277266603781412,0.22678950017834007,-0.7675751023536335
46,0.017287572054947842,0.5518027510260306,0.3406009796497005,0.05955692771378161,0.4760187324577074,-9987.44775308009,-0.5503209846110018,0.22659724552052596,-0.4348568000234171
47,0.018558923524935156,0.5534977949668678,0.3379406463534397,0.06026729475463644,0.47546621953599344,-9987.005392458743,-0.442306270485361,0.2260722004645654,-0.2575653158633545
48,0.01847381307118788,0.5520440741316288,0.3405636552178216,0.05867615637891088,0.47528870278140545,-9986.647581104939,-0.35761140596112206,0.2259026246123843,-0.5550917717460968
49,0.01752453454791076,0.5507995920736077,0.34393075688045716,0.05685346539908477,0.47513815914328145,-9986.487690524778,-0.5321749067220913,0.2257630611406114,-0.6052078607424642
50,0.017136013243722638,0.550693309536787,0.3446644420040065,0.05633181468409568,0.4750927840421624,-9986.445846650544,-0.4929427985404761,0.22571806388747465,-0.8350914832520051
51,0.016586706646042906,0.5519910763829068,0.34433350566251975,0.056038306287911274,0.47519992945733946,-9986.602222712041,-0.6076663445562998,0.22581744792549316,-0.7855749459150103
52,0.014991791342840666,0.5571714780007126,0.3391746277714386,0.056280939615409156,0.4743687333703303,-9985.78802253092,-0.6151674418781156,0.22502994744276178,-0.35171916412612053
53,0.016271971426232143,0.5534148067585816,0.34233023619079594,0.056842753477571145,0.47373592246917656,-9985.045172204374,-0.41670853408656855,0.22443143737807983,-1.0994936219281968
54,0.01517572450358874,0.5512923837803457,0.34743345991569285,0.05523533145791717,0.4741235756241171,-9985.48694730567,-0.8169396613544017,0.2247979110938487,-1.12502644819541
55,0.01372146119661427,0.5547525007697267,0.34518609777418896,0.05472173505379194,0.4741343954337618,-9985.548306539795,-0.8786344147106266,0.224807467209497,-0.912960475837677
56,0.01529259740268741,0.5544748116996667,0.3461278980530431,0.05425434430990503,0.47197516136496287,-9983.520580060127,-0.7877435261536566,0.22276652462956612,-1.550989647753964
57,0.012794120825341407,0.5564571269878649,0.3484138540934637,0.051562445981940666,0.473315009926094,-9984.818606525016,-1.1639418739396807,0.22403023863363153,-0.38716390149778146
58,0.01579938991607179,0.550917028228963,0.34947626880960747,0.05393461056730018,0.47426887266459905,-9986.005197695647,-0.6199640543284316,0.22493630906073894,-0.5088310475895605
59,0.016746791493624815,0.550957316201405,0.34856100066015655,0.05434050800084829,0.4740736933796408,-9986.01369819537,-0.6271846779334143,0.2247492734309362,-1.0317959930046692
60,0.016516522679570184,0.5498392401064027,0.35064428356883826,0.053981005016518355,0.4738107735876217,-9986.181081092738,-0.8642699958963924,0.22450249460577432,-0.83636364011465
61,0.015847836855529242,0.549989396348888,0.3509278943208479,0.053811880959472536,0.4740546661691395,-9986.124852868226,-0.7739796722427608,0.22473399662275018,-0.3244199986994675
62,0.017399426400223704,0.5517204800789564,0.3470389315943814,0.05485686299309159,0.4742477004225697,-9986.430052952357,-0.43509374399829737,0.22491566819655545,0.13490884599988034
63,0.01918507435384649,0.549996579633119,0.35069015409241816,0.051585996672259805,0.47379998045017185,-9986.14886293494,-0.17746676741101253,0.22448947971552272,-0.7504667904501027
64,0.017258144636884,0.5376884192365703,0.366670808733754,0.049639670104955555,0.4724891669568032,-9985.055703950038,-0.6096858479777847,0.22325129572012012,-0.557414934341405
65,0.01462093655753342,0.543825937523343,0.3616516568662307,0.04901054988843848,0.4684676734305736,-9979.481111655397,-0.48568296630620084,0.21946507475096236,-0.4891746844095884
66,0.01478668616913385,0.542026182132083,0.3640520311684997,0.048456056216632765,0.4681186634832125,-9979.17587615892,-0.42480393693448654,0.21913859198563398,-1.3554264355717904
67,0.012474900152022853,0.5413001437812746,0.3635100600869539,0.05243227694225387,0.46929725921856913,-9980.39962378864,-0.9104012637041653,0.22024315574290096,-0.8795445104441232
68,0.013579259347491896,0.5427231240169624,0.36182967676095085,0.05241489895620171,0.4686631300592223,-9979.944300873662,-0.7842882493474558,0.21964999676412855,-1.710398931197587
69,0.010391377091375545,0.5427943756299681,0.3629407357790667,0.05421535559885767,0.4703482316336879,-9981.713234857385,-1.2533116476795,0.2212311395201212,-1.5296477520325573
70,0.009862657117625257,0.543144554597454,0.363688126576343,0.053938163796567976,0.4703976520773313,-9981.908017510854,-1.262478323701464,0.2212797632626635,-1.1462924309898082
71,0.010681098558953156,0.540922490959092,0.3668088580562563,0.052381395642475896,0.47015680295273937,-9981.927157191527,-1.1484712018823313,0.22105301146961817,-0.9430454383694994
72,0.01255736333691023,0.5383902145806836,0.3696188246974238,0.05073995316379168,0.4694247683890608,-9981.518446806936,-1.0198694010051814,0.22036329096355,-1.242408370854179
73,0.013198488537723197,0.5437839736891608,0.36020177952952526,0.05527410300073912,0.46795795392274,-9980.705804953986,-1.1839616096197654,0.21898832561360998,-1.561899226274794
74,0.011571244771786626,0.5447573142217609,0.35442956797065156,0.06254935033100134,0.4673215309819737,-9980.353233233534,-1.320565238840757,0.21839478758045527,-1.3852300477024053
75,0.009373757964899206,0.5340276904701546,0.36657355954149334,0.06323402158843713,0.4652168273356816,-9977.163299969478,-1.2343164758240972,0.216438578342231,-1.7100501523502545
76,0.006483960073475341,0.5303258421501054,0.37096710827215773,0.06518483384630654,0.4652539229271315,-9976.620980916594,-1.4337503299871552,0.21646775434089469,-2.6780339112910543
77,0.0014338070996351214,0.532827731633394,0.37245937767842086,0.066526701235078,0.4680293439539387,-9979.482217054747,-2.032547357332025,0.21906461935257734,-2.037924329039711
78,-0.00040839413860912577,0.5293937393706438,0.3785735797881248,0.064627528455628,0.466460654262673,-9977.381041401108,-1.830921354004076,0.21759429801338612,-2.2456654059804118
79,-0.001272494097159214,0.5348196742160659,0.3739906197703406,0.06564793834967567,0.46616864813140757,-9977.379943989252,-1.9909947602614317,0.2173173886940635,-1.677210992454955
80,-0.001771954126600308,0.5262136480916192,0.38506621064625046,0.06197514432455285,0.4643118958922844,-9975.007032211272,-1.7778833381437467,0.2155909392260658,-1.5267182893593496
81,-0.0013754425272768586,0.5256673409568965,0.3839839442361067,0.06258108401845151,0.4640686152417727,-9974.815215264902,-1.6969622734836096,0.2153682363493394,-1.373627533189169
82,-0.0003373019752632099,0.5270148447958087,0.3798401180374458,0.06409854181998867,0.46426218807729935,-9975.045042789998,-1.5067971765435153,0.2155456993283674,-1.4757087218728795
83,9.872780925967458e-05,0.5263541953896163,0.38201051534729447,0.06241690780411877,0.46397364562613236,-9974.800100993147,-1.50232726638199,0.21527518070160792,-1.6689666302852104
84,-0.0008249459263995183,0.5263386920505431,0.38404868806192144,0.06099528017442055,0.4632428145462865,-9974.383198088235,-1.5397039227223999,0.21459789012720792,-1.2793337698660574
85,0.0009101302739960597,0.5230342301931724,0.387447302711033,0.059688781402189035,0.4628724595473618,-9973.688325818364,-1.3376808959145865,0.21425482787334482,-1.3937269827445145
86,0.0017028896641415364,0.5342088330862849,0.37196070591968533,0.06468170035775468,0.4618495495911621,-9972.812051590823,-1.3758487886575648,0.21331104970341055,-1.3913070516871646
87,0.0003218904352146426,0.5183210704442056,0.3977318651366848,0.05419639445443969,0.45886088091237837,-9969.307693846367,-1.380565467688684,0.21056001214538228,-1.2062404534999622
88,-0.0005007439760674049,0.5114274966206185,0.40979355315826604,0.04747136557288415,0.45581972674897414,-9966.474320877718,-1.2787175699847073,0.20777449548525623,-1.1812949126062786
89,-0.0005216646769151182,0.5113894388580023,0.4090322243512963,0.047760492177203115,0.45569528256603364,-9966.573902560383,-1.2188601771650724,0.20766266842619696,-1.4858530378200148
90,-0.001818853105190768,0.5121714214257413,0.4062753498208954,0.05113885545099471,0.45593885366092946,-9966.893490507608,-1.3699938141281152,0.20788386487254756,-1.288756101693122
91,-0.0024982168992881463,0.517683676712478,0.39589094557347293,0.056050892056763835,0.4553029033019447,-9966.560452882908,-1.2793402297182483,0.20730415882775652,-1.460892940986513
92,-0.003028734692212531,0.5117958996962103,0.4019180300009542,0.057418582754400094,0.4543631288248957,-9965.247582831942,-1.3596990037150543,0.2064499974012541,-0.7170319051297439
93,0.0009706511627637297,0.5008442768182602,0.4203321061048412,0.04753938974866952,0.45259009576481707,-9962.559697236396,-1.0023106108243613,0.20484068990419618,0.5175482871417706
94,0.006628168565419767,0.5071021168552051,0.41675012420236957,0.038640003671186696,0.4573432843524864,-9967.76126938016,-0.3084274432920464,0.20916849001888085,0.17902407858353686
95,0.008508467714300475,0.5137281006531919,0.41144599031965523,0.035623803383944726,0.4579131391486829,-9968.289448003066,-0.2600519953030272,0.2096871847156773,-0.3400342837852663
96,0.009632584913200942,0.5149718722955603,0.4121069513111423,0.034224341077115514,0.4566688388410073,-9967.146844763603,-0.3724678305321386,0.20855006948988516,-0.23990887728356433
97,0.008959414148056611,0.5192359087259464,0.4071490132364731,0.0344608160935615,0.4561246087874856,-9966.412584014906,-0.20721600660350573,0.2080535256127625,-0.006336104783872591
98,0.009162521050227908,0.52047779646271,0.4071526577953235,0.032684785388286806,0.4554201017279944,-9965.98509238975,-0.03243920110866193,0.20741063496316892,0.5379744836511035
99,0.012509304240870718,0.5169738238296375,0.4180561991887023,0.02347895759594662,0.45431752897150746,-9964.250659925752,0.21642447722693336,0.2064092282276795,0.395638865662378
100,0.013888135605299386,0.5233462008819142,0.4119760229507854,0.02279236193436559,0.4537992357735444,-9963.867140735423,0.1882426090285179,0.20593716455629435,-0.4107247648842043
101,0.010880197577877521,0.5191424553754262,0.4125629343359817,0.027932372707161236,0.45330104277290917,-9963.057508655136,-0.1622850082841784,0.2054844210621954,-0.6797986874315545
102,0.00952748275214469,0.5216608996457346,0.40609191320956517,0.03324204214194207,0.4538333436465397,-9963.662764010025,-0.326538012236298,0.20596858667727436,-0.36611374964319965
103,0.00861644201747327,0.5258650781545292,0.39997912467791696,0.03536294035988332,0.45347057174518257,-9963.338485778886,-0.23249561253738976,0.2056380884935502,0.194105384806358
104,0.010729568400642896,0.5212425523463812,0.4092548129307938,0.02967471291685662,0.4529243068964997,-9962.66058300484,-0.020921468315080412,0.20514347866537466,1.010481435844624
105,0.014475436332337593,0.5257038872232078,0.4087444291197977,0.023683019244967143,0.45469452940183813,-9964.640498470222,0.3998929380779199,0.20675095491948092,-0.22293527800460128
106,0.012482940014765772,0.5195303359814702,0.4126468227528377,0.02692847444031947,0.45549581717352916,-9965.473600788113,-0.10402247398329235,0.2074790949612184,0.5585688423648317
107,0.015091804482670779,0.5198479776702243,0.41472318279215814,0.023246053301505466,0.45593309756816164,-9966.058617182816,0.3553421156631245,0.2078801669504464,-0.16502881191324353
108,0.012909490155547484,0.5183353202157404,0.41368585196193897,0.026782842199345937,0.45612539999603896,-9966.173550289903,0.07225859802001183,0.2080542715710468,-0.006226336465762021
109,0.013173152587090967,0.5200430629829578,0.41096214584844565,0.027884783538864248,0.455992307550803,-9966.061250380164,0.11887444761235981,0.20793251870870638,0.12449519639795281
110,0.012902056772056154,0.5187624832067388,0.41253024048921094,0.027726196955507217,0.45576838368778105,-9965.798421374375,0.08572429781035264,0.20772760094274825,-0.8180189215756205
111,0.009904623748372856,0.517222110274288,0.4124238148609041,0.03056381868670551,0.4568374829683073,-9966.91492074953,-0.3682927271880031,0.20870335968756773,-0.7586842075052279
112,0.00935495405800467,0.5204454824975253,0.4087242287294852,0.03161030722502202,0.45702061086613127,-9967.172527190403,-0.47820049417393434,0.20887096127495106,-1.018221881756652
113,0.007799759906090787,0.5235843727749131,0.4059540509960916,0.031945208467291424,0.4576331761681086,-9967.811418608077,-0.675603569672823,0.2094326302610535,-0.9804591588383575
114,0.006830749057170689,0.5261016737599293,0.40473071420325735,0.03104585880743885,0.45752609090423546,-9967.846595284958,-0.7585069834485344,0.2093336911653858,-0.7999569280693603
115,0.008223354711685796,0.5275580894155971,0.40358810019005187,0.03075015826733339,0.4560335385203279,-9966.143304757567,-0.7725828217754155,0.20797145890080995,-0.16788258823202978
116,0.009053224316854496,0.5270202732368269,0.4008392766167458,0.03340326513283166,0.4566736330683016,-9966.771316076078,-0.43644846644978136,0.20856100383069334,-0.5297721544174978
117,0.009100779227576997,0.5275866623277987,0.4003470822103895,0.03344801315323791,0.4565565919201217,-9966.705530613026,-0.5696550995655494,0.20844967015183846,-0.4772321723260906
118,0.008791147350989527,0.5257954016063666,0.40297006277463443,0.03248589410765926,0.45620832351906204,-9966.239729489243,-0.49536557784465196,0.20813058728537187,-0.7031204163554295
119,0.007906921946616907,0.5244077241173905,0.40592284515917215,0.031117108793463147,0.45613127127935493,-9966.121422373404,-0.5660030275742468,0.20806144983400762,-1.5598865475752466
120,0.004922246441437138,0.5266380386756098,0.4068428035178584,0.029230036536576035,0.4579236232968874,-9968.120676371898,-1.0134203913050306,0.2096992090173554,-1.2240845702005225
121,0.004557329721839645,0.5286816769257262,0.40535756190608274,0.029076964552853773,0.45800542003190636,-9968.200831894192,-0.9810004420915915,0.20977182840392694,-1.3533788532923652
122,0.003781374243585706,0.530071446099635,0.405733397115829,0.027971927707043036,0.45829622059100955,-9968.525402324718,-1.1239969588964427,0.21003896301612024,-1.3260282600349216
123,0.0025273835720119936,0.5320111107167784,0.4049108625640204,0.027268459242368034,0.4578508586400589,-9968.251985373956,-1.2010878518187373,0.20963769521130077,-1.4613412268193244
124,0.0021759454729950558,0.5324122701229457,0.4052012605249178,0.027238164237194957,0.45793752630950346,-9968.200226120958,-1.3374974102885622,0.20971183083416858,-1.6020463524447073
125,0.001045654580979057,0.5310692910967059,0.40998232535848506,0.024184815478788424,0.457697806980335,-9968.111403975905,-1.4086027095166156,0.20949214986910988,-1.3063096182032012
126,0.00164626465086607,0.5313824827028486,0.4099846853958202,0.023604913316177714,0.4573947180509933,-9968.000910317664,-1.2918603772535906,0.20921353388645564,-0.9534536088254839
127,0.001199845594783151,0.5328219719178215,0.4055818826345621,0.025487733088092854,0.4562580421280371,-9966.76057052431,-1.0994932712256729,0.20817584222416907,-1.1997156422465145
